run_accession,experiment,biosample,bioproject,collection_date,site_or_sample,strategy,platform,gbases
SRR40666466,SRX35241141,SAMN63139013,PRJNA1498729,2026-08-27,jurisdiction CI site S0120,AMPLICON,MiSeq i100,0.27
SRR40666467,SRX35241140,SAMN63139012,PRJNA1498729,2026-08-27,jurisdiction CI site S0090,AMPLICON,MiSeq i100,0.31
SRR40666460,SRX35241147,SAMN63139007,PRJNA1498729,2026-08-31,jurisdiction CI site S0095,AMPLICON,MiSeq i100,0.2
SRR40666461,SRX35241146,SAMN63139006,PRJNA1498729,2026-08-31,jurisdiction CI site S0154,AMPLICON,MiSeq i100,0.18
SRR40666469,SRX35241138,SAMN63139010,PRJNA1498729,2026-09-01,jurisdiction CI site S0153,AMPLICON,MiSeq i100,0.19
SRR40666458,SRX35241149,SAMN63139009,PRJNA1498729,2026-09-03,jurisdiction CI site S0090,AMPLICON,MiSeq i100,0.24
SRR40666459,SRX35241148,SAMN63139008,PRJNA1498729,2026-09-03,jurisdiction CI site S0120,AMPLICON,MiSeq i100,1.33
SRR40666468,SRX35241139,SAMN63139011,PRJNA1498729,2026-09-03,jurisdiction CI site S0108,AMPLICON,MiSeq i100,0.23
SRR40032779,SRX34683119,SAMN62226847,PRJNA989260,2025-09-16,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.48
SRR40032780,SRX34683118,SAMN62226848,PRJNA989260,2025-09-16,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.72
SRR40032781,SRX34683117,SAMN62226849,PRJNA989260,2025-09-16,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.56
SRR40032782,SRX34683116,SAMN62226850,PRJNA989260,2025-09-17,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.07
SRR40032795,SRX34683103,SAMN62226863,PRJNA989260,2025-09-18,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,1.21
SRR40032822,SRX34683164,SAMN62226826,PRJNA989260,2025-09-22,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.39
SRR40032839,SRX34683147,SAMN62226843,PRJNA989260,2025-09-22,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.62
SRR40032825,SRX34683161,SAMN62226829,PRJNA989260,2025-09-23,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.51
SRR40032823,SRX34683163,SAMN62226827,PRJNA989260,2025-09-24,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.52
SRR40032824,SRX34683162,SAMN62226828,PRJNA989260,2025-09-24,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,1.92
SRR40032826,SRX34683160,SAMN62226830,PRJNA989260,2025-09-24,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.35
SRR40032820,SRX34683166,SAMN62226824,PRJNA989260,2025-09-25,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.36
SRR40032821,SRX34683165,SAMN62226825,PRJNA989260,2025-09-25,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.58
SRR40032876,SRX34683202,SAMN62226880,PRJNA989260,2025-09-29,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.44
SRR40032877,SRX34683201,SAMN62226881,PRJNA989260,2025-09-29,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.39
SRR40032878,SRX34683200,SAMN62226882,PRJNA989260,2025-09-29,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.17
SRR40032873,SRX34683205,SAMN62226877,PRJNA989260,2025-09-30,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.25
SRR40032874,SRX34683204,SAMN62226878,PRJNA989260,2025-09-30,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.13
SRR40032875,SRX34683203,SAMN62226879,PRJNA989260,2025-09-30,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.43
SRR40032879,SRX34683199,SAMN62226883,PRJNA989260,2025-10-02,jurisdiction CI site S0090,AMPLICON,NextSeq 2000,0.5
SRR40032891,SRX34683187,SAMN62226895,PRJNA989260,2025-10-02,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,2.44
SRR40032859,SRX34683167,SAMN62226915,PRJNA989260,2025-10-06,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.31
SRR40032843,SRX34683183,SAMN62226899,PRJNA989260,2025-10-07,jurisdiction CI site S0090,AMPLICON,NextSeq 2000,2.51
SRR40032844,SRX34683182,SAMN62226900,PRJNA989260,2025-10-07,jurisdiction CI site S0092,AMPLICON,NextSeq 2000,0.32
SRR40032845,SRX34683181,SAMN62226901,PRJNA989260,2025-10-07,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.29
SRR40032846,SRX34683180,SAMN62226902,PRJNA989260,2025-10-08,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.78
SRR40032847,SRX34683179,SAMN62226903,PRJNA989260,2025-10-08,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.68
SRR40032848,SRX34683178,SAMN62226904,PRJNA989260,2025-10-08,jurisdiction CI site S0086,AMPLICON,NextSeq 2000,0.01
SRR40032849,SRX34683177,SAMN62226905,PRJNA989260,2025-10-08,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.45
SRR40032850,SRX34683176,SAMN62226906,PRJNA989260,2025-10-08,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.21
SRR40032851,SRX34683175,SAMN62226907,PRJNA989260,2025-10-08,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.33
SRR40032955,SRX34683283,SAMN62226959,PRJNA989260,2025-10-15,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.21
SRR40032956,SRX34683282,SAMN62226960,PRJNA989260,2025-10-15,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.5
SRR40032954,SRX34683284,SAMN62226958,PRJNA989260,2025-10-16,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,1.05
SRR40032957,SRX34683281,SAMN62226961,PRJNA989260,2025-10-16,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.51
SRR40032964,SRX34683274,SAMN62226968,PRJNA989260,2025-10-16,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.85
SRR40032961,SRX34683277,SAMN62226965,PRJNA989260,2025-10-17,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.15
SRR40032962,SRX34683276,SAMN62226966,PRJNA989260,2025-10-17,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.27
SRR40032902,SRX34683225,SAMN62226944,PRJNA989260,2025-10-20,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.03
SRR40032903,SRX34683224,SAMN62226945,PRJNA989260,2025-10-20,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.14
SRR40032906,SRX34683221,SAMN62226948,PRJNA989260,2025-10-20,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.28
SRR40032905,SRX34683222,SAMN62226947,PRJNA989260,2025-10-21,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.29
SRR40032907,SRX34683220,SAMN62226949,PRJNA989260,2025-10-21,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.43
SRR40032904,SRX34683223,SAMN62226946,PRJNA989260,2025-10-22,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.1
SRR40032908,SRX34683219,SAMN62226950,PRJNA989260,2025-10-23,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.16
SRR40032925,SRX34683237,SAMN62226932,PRJNA989260,2025-10-28,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.25
SRR40032921,SRX34683241,SAMN62226928,PRJNA989260,2025-10-29,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.45
SRR40032923,SRX34683239,SAMN62226930,PRJNA989260,2025-10-29,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.11
SRR40032924,SRX34683238,SAMN62226931,PRJNA989260,2025-10-29,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.4
SRR40032922,SRX34683240,SAMN62226929,PRJNA989260,2025-10-30,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.7
SRR40032926,SRX34683236,SAMN62226933,PRJNA989260,2025-10-30,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.46
SRR40032977,SRX34683299,SAMN62227019,PRJNA989260,2025-11-03,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.16
SRR40032982,SRX34683294,SAMN62227024,PRJNA989260,2025-11-03,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.05
SRR40032984,SRX34683292,SAMN62227026,PRJNA989260,2025-11-03,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.1
SRR40032983,SRX34683293,SAMN62227025,PRJNA989260,2025-11-04,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.17
SRR40032978,SRX34683298,SAMN62227020,PRJNA989260,2025-11-05,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.02
SRR40032979,SRX34683297,SAMN62227021,PRJNA989260,2025-11-05,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.15
SRR40032981,SRX34683295,SAMN62227023,PRJNA989260,2025-11-05,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.24
SRR40032980,SRX34683296,SAMN62227022,PRJNA989260,2025-11-06,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.08
SRR40032939,SRX34683261,SAMN62226981,PRJNA989260,2025-11-10,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.44
SRR40032940,SRX34683260,SAMN62226982,PRJNA989260,2025-11-10,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.31
SRR40032941,SRX34683259,SAMN62226983,PRJNA989260,2025-11-10,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.07
SRR40032943,SRX34683257,SAMN62226985,PRJNA989260,2025-11-11,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.78
SRR40032944,SRX34683256,SAMN62226986,PRJNA989260,2025-11-11,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.44
SRR40032942,SRX34683258,SAMN62226984,PRJNA989260,2025-11-12,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.3
SRR40032945,SRX34683255,SAMN62226987,PRJNA989260,2025-11-12,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.19
SRR40032946,SRX34683254,SAMN62226988,PRJNA989260,2025-11-13,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.62
SRR40033040,SRX34683364,SAMN62227053,PRJNA989260,2025-11-17,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.41
SRR40033050,SRX34683354,SAMN62227063,PRJNA989260,2025-11-17,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.0
SRR40033039,SRX34683365,SAMN62227052,PRJNA989260,2025-11-19,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.16
SRR40033041,SRX34683363,SAMN62227054,PRJNA989260,2025-11-19,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.14
SRR40033042,SRX34683362,SAMN62227055,PRJNA989260,2025-11-19,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.05
SRR40033049,SRX34683355,SAMN62227062,PRJNA989260,2025-11-19,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.05
SRR40033043,SRX34683361,SAMN62227056,PRJNA989260,2025-11-20,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.04
SRR40033044,SRX34683360,SAMN62227057,PRJNA989260,2025-11-20,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.03
SRR40033220,SRX34683548,SAMN62227253,PRJNA989260,2025-11-24,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,1.93
SRR40033221,SRX34683547,SAMN62227254,PRJNA989260,2025-11-24,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.46
SRR40033222,SRX34683546,SAMN62227255,PRJNA989260,2025-11-24,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.26
SRR40033234,SRX34683534,SAMN62227267,PRJNA989260,2025-11-24,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.99
SRR40033223,SRX34683545,SAMN62227256,PRJNA989260,2025-11-26,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.43
SRR40033224,SRX34683544,SAMN62227257,PRJNA989260,2025-11-26,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.45
SRR40033225,SRX34683543,SAMN62227258,PRJNA989260,2025-11-26,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.37
SRR40033226,SRX34683542,SAMN62227259,PRJNA989260,2025-11-26,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.75
SRR40033148,SRX34683476,SAMN62227179,PRJNA989260,2025-12-01,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.6
SRR40033151,SRX34683473,SAMN62227182,PRJNA989260,2025-12-01,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.45
SRR40033152,SRX34683472,SAMN62227183,PRJNA989260,2025-12-01,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.34
SRR40033149,SRX34683475,SAMN62227180,PRJNA989260,2025-12-03,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.41
SRR40033147,SRX34683477,SAMN62227178,PRJNA989260,2025-12-04,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,1.58
SRR40033150,SRX34683474,SAMN62227181,PRJNA989260,2025-12-04,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.5
SRR40033153,SRX34683471,SAMN62227184,PRJNA989260,2025-12-04,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,1.71
SRR40033155,SRX34683469,SAMN62227186,PRJNA989260,2025-12-04,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.89
SRR40032991,SRX34683323,SAMN62226995,PRJNA989260,2025-12-08,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.16
SRR40032996,SRX34683318,SAMN62227000,PRJNA989260,2025-12-08,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,1.04
SRR40032994,SRX34683320,SAMN62226998,PRJNA989260,2025-12-09,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,1.61
SRR40032995,SRX34683319,SAMN62226999,PRJNA989260,2025-12-09,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.46
SRR40032997,SRX34683317,SAMN62227001,PRJNA989260,2025-12-09,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.54
SRR40032992,SRX34683322,SAMN62226996,PRJNA989260,2025-12-10,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.73
SRR40032993,SRX34683321,SAMN62226997,PRJNA989260,2025-12-10,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.28
SRR40033002,SRX34683312,SAMN62227006,PRJNA989260,2025-12-11,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,1.79
SRR40033116,SRX34683401,SAMN62227131,PRJNA989260,2025-12-15,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.17
SRR40033126,SRX34683391,SAMN62227141,PRJNA989260,2025-12-15,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.3
SRR40033106,SRX34683411,SAMN62227121,PRJNA989260,2025-12-16,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.06
SRR40033105,SRX34683412,SAMN62227120,PRJNA989260,2025-12-17,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.25
SRR40033108,SRX34683409,SAMN62227123,PRJNA989260,2025-12-17,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.12
SRR40033114,SRX34683403,SAMN62227129,PRJNA989260,2025-12-17,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.31
SRR40033109,SRX34683408,SAMN62227124,PRJNA989260,2025-12-18,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.47
SRR40033111,SRX34683406,SAMN62227126,PRJNA989260,2025-12-18,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.12
SRR40033107,SRX34683410,SAMN62227122,PRJNA989260,2025-12-22,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.1
SRR40033110,SRX34683407,SAMN62227125,PRJNA989260,2025-12-22,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.18
SRR40033112,SRX34683405,SAMN62227127,PRJNA989260,2025-12-22,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.22
SRR40033113,SRX34683404,SAMN62227128,PRJNA989260,2025-12-22,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.42
SRR40033125,SRX34683392,SAMN62227140,PRJNA989260,2025-12-22,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.18
SRR40033094,SRX34683423,SAMN62227085,PRJNA989260,2025-12-23,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.4
SRR40033096,SRX34683421,SAMN62227087,PRJNA989260,2025-12-23,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.3
SRR40033115,SRX34683402,SAMN62227130,PRJNA989260,2025-12-23,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.15
SRR40033095,SRX34683422,SAMN62227086,PRJNA989260,2025-12-29,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.27
SRR40033120,SRX34683397,SAMN62227135,PRJNA989260,2025-12-29,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.09
SRR40033092,SRX34683425,SAMN62227083,PRJNA989260,2025-12-30,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,0.3
SRR40033064,SRX34683453,SAMN62227091,PRJNA989260,2026-01-02,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.13
SRR40033093,SRX34683424,SAMN62227084,PRJNA989260,2026-01-02,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.16
SRR40033097,SRX34683420,SAMN62227088,PRJNA989260,2026-01-02,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.06
SRR40033098,SRX34683419,SAMN62227089,PRJNA989260,2026-01-02,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.12
SRR40033099,SRX34683418,SAMN62227090,PRJNA989260,2026-01-02,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.14
SRR40033159,SRX34683530,SAMN62227192,PRJNA989260,2026-01-05,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.13
SRR40033161,SRX34683528,SAMN62227194,PRJNA989260,2026-01-05,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.14
SRR40033157,SRX34683532,SAMN62227190,PRJNA989260,2026-01-06,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,1.05
SRR40033160,SRX34683529,SAMN62227193,PRJNA989260,2026-01-06,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.2
SRR40033156,SRX34683533,SAMN62227189,PRJNA989260,2026-01-07,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.18
SRR40033158,SRX34683531,SAMN62227191,PRJNA989260,2026-01-07,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,0.53
SRR40033162,SRX34683527,SAMN62227195,PRJNA989260,2026-01-08,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,0.24
SRR40033206,SRX34683483,SAMN62227239,PRJNA989260,2026-01-08,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,0.18
SRR40033238,SRX34683578,SAMN62227272,PRJNA989260,2026-01-20,jurisdiction CI site S0093,AMPLICON,NextSeq 2000,0.21
SRR40033240,SRX34683576,SAMN62227274,PRJNA989260,2026-01-21,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.29
SRR40033242,SRX34683574,SAMN62227276,PRJNA989260,2026-01-21,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.31
SRR40033243,SRX34683573,SAMN62227277,PRJNA989260,2026-01-21,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.58
SRR40033244,SRX34683572,SAMN62227278,PRJNA989260,2026-01-21,jurisdiction CI site S0154,AMPLICON,NextSeq 2000,1.01
SRR40033239,SRX34683577,SAMN62227273,PRJNA989260,2026-01-22,jurisdiction CI site S0120,AMPLICON,NextSeq 2000,1.19
SRR40033241,SRX34683575,SAMN62227275,PRJNA989260,2026-01-22,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,1.65
SRR40033254,SRX34683562,SAMN62227288,PRJNA989260,2026-01-22,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,1.51
SRR40033141,SRX34683454,SAMN62227172,PRJNA989260,2026-01-26,jurisdiction CI site S0108,AMPLICON,NextSeq 2000,2.5
SRR40033132,SRX34683463,SAMN62227163,PRJNA989260,2026-01-27,jurisdiction CI site S0153,AMPLICON,NextSeq 2000,2.85
SRR40033129,SRX34683466,SAMN62227160,PRJNA989260,2026-01-28,jurisdiction CI site S0095,AMPLICON,NextSeq 2000,0.92
SRR40033130,SRX34683465,SAMN62227161,PRJNA989260,2026-01-28,jurisdiction CI site S0094,AMPLICON,NextSeq 2000,0.55
SRR40033131,SRX34683464,SAMN62227162,PRJNA989260,2026-01-28,jurisdiction CI site S0155,AMPLICON,NextSeq 2000,0.46
